tick_id,mode,n_zones_completed,n_zones_fallback,n_late_reports,n_duplicate_reports,mean_zone_latency_s,max_zone_latency_s,max_mean_ratio,total_tick_latency_s
0,async,0,8,0,0,0.0,0.0,0.0,1.6286
1,async,6,2,0,0,0.0001,0.0003,0.0,1.3481
2,async,7,1,0,0,0.1431,1.0013,0.0,1.0554
3,async,8,0,0,0,0.2503,1.001,0.0,1.0321
4,async,6,2,0,0,0.0001,0.0002,0.0,0.8604
5,async,6,2,0,0,0.0001,0.0003,0.0,0.8736
6,async,6,2,0,0,0.0,0.0001,0.0,0.8549
7,async,6,2,0,0,0.0,0.0001,0.0,0.8518
8,async,6,2,0,0,0.0001,0.0004,0.0,0.8447
9,async,6,2,0,0,0.0001,0.0001,0.0,0.8381
10,async,6,2,19,0,0.0,0.0001,0.0,0.861
11,async,6,2,0,0,0.0,0.0001,0.0,0.8473
12,async,6,2,0,0,0.0001,0.0001,0.0,0.8373
13,async,6,2,0,0,0.0,0.0,0.0,0.8493
14,async,6,2,0,0,0.0,0.0001,0.0,0.859
15,async,6,2,0,0,0.0,0.0,0.0,0.8529
16,async,6,2,0,0,0.0001,0.0002,0.0,0.8522
17,async,6,2,0,0,0.0,0.0001,0.0,0.8546
18,async,6,2,0,0,0.0,0.0001,0.0,0.8495
19,async,6,2,0,0,0.0,0.0,0.0,0.8584
20,async,6,2,20,0,0.0,0.0001,0.0,0.8545
21,async,6,2,0,0,0.0,0.0,0.0,0.8521
22,async,6,2,0,0,0.0,0.0,0.0,0.8492
23,async,6,2,0,0,0.0,0.0,0.0,0.8513
24,async,6,2,0,0,0.0,0.0001,0.0,0.8442
25,async,6,2,0,0,0.0,0.0001,0.0,0.8522
26,async,6,2,0,0,0.0,0.0001,0.0,0.8599
27,async,6,2,0,0,0.0,0.0,0.0,0.8618
28,async,6,2,0,0,0.0,0.0,0.0,0.8621
29,async,6,2,0,0,0.0001,0.0002,0.0,0.8454
30,async,6,2,20,0,0.0001,0.0001,0.0,0.8559
31,async,6,2,0,0,0.0,0.0001,0.0,0.8584
32,async,6,2,0,0,0.0,0.0001,0.0,0.8345
33,async,6,2,0,0,0.0,0.0,0.0,0.8352
34,async,6,2,0,0,0.0,0.0001,0.0,0.848
35,async,6,2,0,0,0.0,0.0001,0.0,0.8553
36,async,6,2,0,0,0.0,0.0001,0.0,0.8501
37,async,6,2,0,0,0.0,0.0001,0.0,0.8524
38,async,6,2,0,0,0.0,0.0001,0.0,0.8414
39,async,6,2,0,0,0.0,0.0001,0.0,0.854
40,async,6,2,20,0,0.0001,0.0002,0.0,0.8498
41,async,6,2,0,0,0.0001,0.0002,0.0,0.8383
42,async,6,2,0,0,0.0001,0.0002,0.0,0.8567
43,async,6,2,0,0,0.0,0.0001,0.0,0.8417
44,async,6,2,0,0,0.0,0.0001,0.0,0.8323
45,async,6,2,0,0,0.0001,0.0001,0.0,0.8544
46,async,6,2,0,0,0.0001,0.0001,0.0,0.8463
47,async,6,2,0,0,0.0,0.0001,0.0,0.8382
48,async,6,2,0,0,0.0,0.0001,0.0,0.8346
49,async,6,2,0,0,0.0,0.0,0.0,0.8469
50,async,6,2,20,0,0.0,0.0001,0.0,0.8338
51,async,6,2,0,0,0.0001,0.0002,0.0,0.8493
52,async,6,2,0,0,0.0,0.0001,0.0,0.8504
53,async,6,2,0,0,0.0,0.0,0.0,0.8464
54,async,6,2,0,0,0.0,0.0,0.0,0.8559
55,async,6,2,0,0,0.0,0.0001,0.0,0.8505
56,async,6,2,0,0,0.0,0.0001,0.0,0.8333
57,async,6,2,0,0,0.0,0.0001,0.0,0.851
58,async,6,2,0,0,0.0,0.0,0.0,0.8495
59,async,6,2,0,0,0.0,0.0,0.0,0.8457
60,async,6,2,20,0,0.0,0.0,0.0,0.8539
61,async,6,2,0,0,0.0001,0.0002,0.0,0.8582
62,async,6,2,0,0,0.0,0.0001,0.0,0.8417
63,async,6,2,0,0,0.0,0.0,0.0,0.8523
64,async,6,2,0,0,0.0,0.0,0.0,0.8526
65,async,6,2,0,0,0.0,0.0001,0.0,0.8575
66,async,6,2,0,0,0.0,0.0,0.0,0.8515
67,async,6,2,0,0,0.0,0.0001,0.0,0.8525
68,async,6,2,0,0,0.0,0.0,0.0,0.8427
69,async,6,2,0,0,0.0,0.0,0.0,0.8504
70,async,6,2,20,0,0.0,0.0,0.0,0.8399
71,async,6,2,0,0,0.0,0.0,0.0,0.8429
72,async,6,2,0,0,0.0,0.0001,0.0,0.8578
73,async,6,2,0,0,0.0,0.0,0.0,0.8532
74,async,6,2,0,0,0.0,0.0001,0.0,0.8488
75,async,6,2,0,0,0.0,0.0,0.0,0.8554
76,async,6,2,0,0,0.0,0.0001,0.0,0.8448
77,async,6,2,0,0,0.0001,0.0001,0.0,0.8512
78,async,6,2,0,0,0.0001,0.0001,0.0,0.8856
79,async,6,2,0,0,0.0001,0.0001,0.0,0.8466
80,async,6,2,20,0,0.0,0.0001,0.0,0.8446
81,async,6,2,0,0,0.0,0.0001,0.0,0.8466
82,async,6,2,0,0,0.0,0.0,0.0,0.8444
83,async,6,2,0,0,0.0001,0.0001,0.0,0.8466
84,async,6,2,0,0,0.0,0.0,0.0,0.8548
85,async,6,2,0,0,0.0,0.0001,0.0,0.8536
86,async,6,2,0,0,0.0,0.0,0.0,0.8542
87,async,6,2,0,0,0.0001,0.0003,0.0,0.8605
