tick_id,mode,n_zones_completed,n_zones_fallback,n_late_reports,n_duplicate_reports,mean_zone_latency_s,max_zone_latency_s,max_mean_ratio,total_tick_latency_s
0,blocking,8,0,0,0,0.2504,1.0016,4.0001,4.6453
1,blocking,8,0,0,0,0.2503,1.0008,3.9989,1.0395
2,blocking,8,0,0,0,0.2507,1.0032,4.0016,1.0343
3,blocking,8,0,0,0,0.2504,1.0012,3.9988,1.0565
4,blocking,8,0,0,0,0.2505,1.0014,3.9985,1.0322
5,blocking,8,0,0,0,0.2503,1.0011,3.9993,1.0218
6,blocking,8,0,0,0,0.2503,1.0011,3.9995,1.031
7,blocking,8,0,0,0,0.2504,1.0014,3.9999,1.0246
8,blocking,8,0,0,0,0.2502,1.0011,4.0004,1.0297
9,blocking,8,0,0,0,0.2509,1.0037,4.0007,1.0404
10,blocking,8,0,0,0,0.2503,1.0013,3.9997,1.0274
11,blocking,8,0,0,0,0.2504,1.0016,4.0005,1.0256
12,blocking,8,0,0,0,0.2504,1.0021,4.0025,1.0293
13,blocking,8,0,0,0,0.2503,1.0014,4.0005,1.036
14,blocking,8,0,0,0,0.2503,1.0012,4.0006,1.0312
15,blocking,8,0,0,0,0.2503,1.0014,4.0005,1.0328
16,blocking,8,0,0,0,0.2502,1.0009,4.0004,1.0305
17,blocking,8,0,0,0,0.2502,1.0009,4.0004,1.0234
18,blocking,8,0,0,0,0.2502,1.0011,4.0003,1.0282
19,blocking,8,0,0,0,0.2504,1.0017,4.001,1.0326
20,blocking,8,0,0,0,0.2503,1.0015,4.0009,1.0662
21,blocking,8,0,0,0,0.2503,1.0011,4.0001,1.0405
22,blocking,8,0,0,0,0.2503,1.0011,3.9991,1.0322
23,blocking,8,0,0,0,0.2503,1.0014,3.9999,1.0344
24,blocking,8,0,0,0,0.2503,1.0013,4.0007,1.0232
25,blocking,8,0,0,0,0.2503,1.001,3.9998,1.0263
26,blocking,8,0,0,0,0.2504,1.0018,4.0006,1.031
27,blocking,8,0,0,0,0.2503,1.001,3.9995,1.0316
28,blocking,8,0,0,0,0.2504,1.0014,4.0,1.0311
29,blocking,8,0,0,0,0.2503,1.0012,4.0003,1.032
30,blocking,8,0,0,0,0.2502,1.001,3.9998,1.0243
31,blocking,8,0,0,0,0.2503,1.0014,4.0005,1.0307
32,blocking,8,0,0,0,0.2502,1.0009,3.9999,1.0303
33,blocking,8,0,0,0,0.2503,1.0013,4.0,1.0252
34,blocking,8,0,0,0,0.2504,1.0014,3.9996,1.0351
35,blocking,8,0,0,0,0.2504,1.0016,4.0004,1.0367
36,blocking,8,0,0,0,0.2502,1.0009,4.0,1.0289
37,blocking,8,0,0,0,0.2503,1.0011,3.9994,1.0314
38,blocking,8,0,0,0,0.2503,1.0011,3.9999,1.0267
39,blocking,8,0,0,0,0.2502,1.0009,4.0006,1.0181
40,blocking,8,0,0,0,0.2503,1.0011,3.9998,1.0277
41,blocking,8,0,0,0,0.2503,1.0011,4.0002,1.03
42,blocking,8,0,0,0,0.2505,1.0019,4.0003,1.0316
43,blocking,8,0,0,0,0.2505,1.0012,3.9962,1.0223
44,blocking,8,0,0,0,0.2503,1.0012,4.0002,1.0162
45,blocking,8,0,0,0,0.2502,1.0008,3.9999,1.0141
46,blocking,8,0,0,0,0.2503,1.0015,4.001,1.0296
47,blocking,8,0,0,0,0.2502,1.0009,4.0,1.0316
48,blocking,8,0,0,0,0.2503,1.0013,4.0,1.028
49,blocking,8,0,0,0,0.2503,1.0013,4.0002,1.0207
50,blocking,8,0,0,0,0.2504,1.0018,4.0008,1.0325
51,blocking,8,0,0,0,0.2502,1.0009,3.9997,1.0307
52,blocking,8,0,0,0,0.2504,1.0014,3.9996,1.037
53,blocking,8,0,0,0,0.2503,1.0011,3.9999,1.0305
54,blocking,8,0,0,0,0.2503,1.0013,4.0002,1.0246
55,blocking,8,0,0,0,0.2503,1.0013,4.0005,1.0287
56,blocking,8,0,0,0,0.2504,1.0018,4.001,1.0324
57,blocking,8,0,0,0,0.2503,1.0012,4.0003,1.0324
58,blocking,8,0,0,0,0.2502,1.0009,4.0002,1.029
59,blocking,8,0,0,0,0.2504,1.0012,3.9981,1.0254
60,blocking,8,0,0,0,0.2503,1.0015,4.0008,1.0315
61,blocking,8,0,0,0,0.2504,1.002,4.0015,1.0328
62,blocking,8,0,0,0,0.2503,1.001,3.9998,1.0284
63,blocking,8,0,0,0,0.2503,1.0012,3.9997,1.0343
64,blocking,8,0,0,0,0.2505,1.0017,3.9993,1.0388
65,blocking,8,0,0,0,0.2504,1.0014,3.9999,1.0324
66,blocking,8,0,0,0,0.2503,1.0013,4.001,1.0261
67,blocking,8,0,0,0,0.2504,1.0021,4.0018,1.0285
68,blocking,8,0,0,0,0.2504,1.0017,4.0003,1.0311
69,blocking,8,0,0,0,0.2503,1.0016,4.0011,1.0265
70,blocking,8,0,0,0,0.2502,1.0009,4.0001,1.0344
71,blocking,8,0,0,0,0.2503,1.0009,3.9993,1.0341
72,blocking,8,0,0,0,0.2502,1.0009,4.0005,1.0232
73,blocking,8,0,0,0,0.2503,1.0011,3.9996,1.0236
74,blocking,8,0,0,0,0.2502,1.0008,3.9993,1.021
75,blocking,8,0,0,0,0.2504,1.0015,3.9996,1.0285
76,blocking,8,0,0,0,0.2503,1.001,3.9998,1.0274
77,blocking,8,0,0,0,0.2503,1.001,3.9993,1.0219
78,blocking,8,0,0,0,0.2503,1.0012,4.0005,1.0217
79,blocking,8,0,0,0,0.2505,1.0023,4.0012,1.0224
80,blocking,8,0,0,0,0.2502,1.0007,3.9991,1.0224
81,blocking,8,0,0,0,0.2501,0.9999,3.9989,1.0207
82,blocking,8,0,0,0,0.2502,1.0009,4.0001,1.022
83,blocking,8,0,0,0,0.2504,1.0014,3.9994,1.0375
