tick_id,mode,n_zones_completed,n_zones_fallback,n_late_reports,n_duplicate_reports,mean_zone_latency_s,max_zone_latency_s,max_mean_ratio,total_tick_latency_s
0,async,4,4,0,0,0.0,0.0001,0.0,3.7263
1,async,4,4,0,0,0.0001,0.0001,0.0,2.3951
2,async,4,4,0,0,0.0001,0.0001,0.0,2.2204
3,async,4,4,0,0,0.0,0.0001,0.0,2.0478
4,async,4,4,0,0,0.0001,0.0001,0.0,2.0654
5,async,4,4,0,0,0.0,0.0001,0.0,2.0555
6,async,4,4,0,0,0.0,0.0001,0.0,2.056
7,async,4,4,0,0,0.0001,0.0001,0.0,2.0577
8,async,4,4,0,0,0.0001,0.0001,0.0,2.0546
9,async,4,4,0,0,0.0001,0.0001,0.0,2.0568
10,async,4,4,40,0,0.0,0.0001,0.0,2.0425
11,async,4,4,0,0,0.0,0.0,0.0,2.0559
12,async,4,4,0,0,0.0001,0.0001,0.0,2.0438
13,async,4,4,0,0,0.0001,0.0002,0.0,2.0859
14,async,4,4,0,0,0.0,0.0001,0.0,2.0517
15,async,4,4,0,0,0.0,0.0,0.0,2.0438
16,async,4,4,0,0,0.0,0.0001,0.0,2.057
17,async,4,4,0,0,0.0001,0.0001,0.0,2.0535
18,async,4,4,0,0,0.0001,0.0001,0.0,2.0492
19,async,4,4,0,0,0.0,0.0001,0.0,2.0553
20,async,4,4,40,0,0.0001,0.0001,0.0,2.0505
21,async,4,4,0,0,0.0001,0.0002,0.0,2.0528
22,async,4,4,0,0,0.0,0.0001,0.0,2.0517
23,async,4,4,0,0,0.0001,0.0002,0.0,2.056
24,async,4,4,0,0,0.0,0.0,0.0,2.0563
25,async,4,4,0,0,0.0,0.0001,0.0,2.0554
26,async,4,4,0,0,0.0001,0.0001,0.0,2.06
27,async,4,4,0,0,0.0,0.0001,0.0,2.0601
28,async,4,4,0,0,0.0,0.0001,0.0,2.0435
29,async,4,4,0,0,0.0,0.0,0.0,2.0433
30,async,4,4,40,0,0.0,0.0001,0.0,2.0666
31,async,4,4,0,0,0.0001,0.0001,0.0,2.0622
32,async,4,4,0,0,0.0,0.0,0.0,2.0489
33,async,4,4,0,0,0.0,0.0001,0.0,2.0404
34,async,4,4,0,0,0.0,0.0001,0.0,2.0425
35,async,4,4,0,0,0.0,0.0,0.0,2.0487
36,async,4,4,0,0,0.0,0.0,0.0,2.0539
37,async,4,4,0,0,0.0,0.0001,0.0,2.0428
38,async,4,4,0,0,0.0001,0.0001,0.0,2.0451
39,async,4,4,0,0,0.0,0.0,0.0,2.0486
40,async,4,4,40,0,0.0,0.0001,0.0,2.0417
41,async,4,4,0,0,0.0001,0.0001,0.0,2.0502
42,async,4,4,0,0,0.0001,0.0001,0.0,2.0516
43,async,4,4,0,0,0.0,0.0001,0.0,2.0509
44,async,4,4,0,0,0.0,0.0,0.0,2.05
45,async,4,4,0,0,0.0,0.0,0.0,2.057
46,async,4,4,0,0,0.0002,0.0003,0.0,2.0616
47,async,4,4,0,0,0.0,0.0001,0.0,2.0428
48,async,4,4,0,0,0.0001,0.0003,0.0,2.0471
49,async,4,4,0,0,0.0,0.0001,0.0,2.0398
50,async,4,4,40,0,0.0,0.0,0.0,2.0475
51,async,4,4,0,0,0.0001,0.0001,0.0,2.0414
52,async,4,4,0,0,0.0,0.0,0.0,2.0416
53,async,4,4,0,0,0.0,0.0001,0.0,2.0607
54,async,4,4,0,0,0.0,0.0,0.0,2.0457
55,async,4,4,0,0,0.0,0.0,0.0,2.0505
56,async,4,4,0,0,0.0,0.0001,0.0,2.0438
57,async,4,4,0,0,0.0,0.0001,0.0,2.0451
58,async,4,4,0,0,0.0,0.0001,0.0,2.0461
59,async,4,4,0,0,0.0,0.0,0.0,2.0516
60,async,4,4,40,0,0.0,0.0,0.0,2.0552
61,async,4,4,0,0,0.0001,0.0001,0.0,2.0494
62,async,4,4,0,0,0.0,0.0001,0.0,2.0564
63,async,4,4,0,0,0.0001,0.0001,0.0,2.0459
64,async,4,4,0,0,0.0,0.0,0.0,2.0381
65,async,4,4,0,0,0.0,0.0,0.0,2.0428
66,async,4,4,0,0,0.0001,0.0001,0.0,2.0679
67,async,4,4,0,0,0.0001,0.0002,0.0,2.052
68,async,4,4,0,0,0.0,0.0001,0.0,2.0425
69,async,4,4,0,0,0.0,0.0,0.0,2.0439
70,async,4,4,40,0,0.0,0.0,0.0,2.0324
71,async,4,4,0,0,0.0001,0.0001,0.0,2.044
72,async,4,4,0,0,0.0,0.0001,0.0,2.0452
73,async,4,4,0,0,0.0,0.0,0.0,2.0418
74,async,4,4,0,0,0.0,0.0,0.0,2.047
75,async,4,4,0,0,0.0,0.0001,0.0,2.042
76,async,4,4,0,0,0.0,0.0001,0.0,2.0512
77,async,4,4,0,0,0.0001,0.0001,0.0,2.0535
78,async,4,4,0,0,0.0,0.0001,0.0,2.0452
79,async,4,4,0,0,0.0,0.0,0.0,2.0418
80,async,4,4,40,0,0.0,0.0,0.0,2.0416
81,async,4,4,0,0,0.0,0.0001,0.0,2.0442
82,async,4,4,0,0,0.0,0.0,0.0,2.042
83,async,4,4,0,0,0.0,0.0,0.0,2.0386
84,async,4,4,0,0,0.0,0.0,0.0,2.0431
85,async,4,4,0,0,0.0,0.0001,0.0,2.0472
86,async,4,4,0,0,0.0001,0.0001,0.0,2.0496
87,async,4,4,0,0,0.0001,0.0001,0.0,2.0453
88,async,4,4,0,0,0.0,0.0,0.0,2.0415
89,async,4,4,0,0,0.0,0.0,0.0,2.0401
90,async,4,4,40,0,0.0,0.0001,0.0,2.0454
91,async,4,4,0,0,0.0001,0.0002,0.0,2.0482
92,async,4,4,0,0,0.0,0.0001,0.0,2.0398
93,async,4,4,0,0,0.0,0.0,0.0,2.0457
94,async,4,4,0,0,0.0,0.0001,0.0,2.0573
95,async,4,4,0,0,0.0002,0.0003,0.0,2.0435
96,async,4,4,0,0,0.0001,0.0001,0.0,2.0426
97,async,4,4,0,0,0.0,0.0001,0.0,2.046
98,async,4,4,0,0,0.0,0.0,0.0,2.041
99,async,4,4,0,0,0.0,0.0,0.0,2.0516
100,async,4,4,40,0,0.0001,0.0001,0.0,2.051
101,async,4,4,0,0,0.0001,0.0002,0.0,2.0544
102,async,4,4,0,0,0.0001,0.0001,0.0,2.0429
103,async,4,4,0,0,0.0001,0.0002,0.0,2.0403
104,async,4,4,0,0,0.0001,0.0001,0.0,2.0499
105,async,4,4,0,0,0.0,0.0001,0.0,2.0394
106,async,4,4,0,0,0.0001,0.0001,0.0,2.0448
107,async,4,4,0,0,0.0001,0.0001,0.0,2.0408
108,async,4,4,0,0,0.0001,0.0001,0.0,2.0402
109,async,4,4,0,0,0.0001,0.0001,0.0,2.0513
110,async,4,4,40,0,0.0,0.0001,0.0,2.0372
111,async,4,4,0,0,0.0001,0.0001,0.0,2.038
112,async,4,4,0,0,0.0,0.0001,0.0,2.0435
113,async,4,4,0,0,0.0,0.0001,0.0,2.0481
114,async,4,4,0,0,0.0001,0.0002,0.0,2.0492
115,async,4,4,0,0,0.0001,0.0001,0.0,2.047
116,async,4,4,0,0,0.0001,0.0001,0.0,2.0538
117,async,4,4,0,0,0.0,0.0001,0.0,2.0364
118,async,4,4,0,0,0.0,0.0,0.0,2.0393
119,async,4,4,0,0,0.0,0.0,0.0,2.0446
120,async,4,4,40,0,0.0,0.0,0.0,2.0328
121,async,4,4,0,0,0.0,0.0001,0.0,2.0478
122,async,4,4,0,0,0.0,0.0,0.0,2.04
123,async,4,4,0,0,0.0001,0.0003,0.0,2.0474
124,async,4,4,0,0,0.0,0.0,0.0,2.0474
125,async,4,4,0,0,0.0,0.0001,0.0,2.0456
126,async,4,4,0,0,0.0,0.0001,0.0,2.0527
127,async,4,4,0,0,0.0,0.0001,0.0,2.0452
128,async,4,4,0,0,0.0001,0.0002,0.0,2.053
129,async,4,4,0,0,0.0001,0.0002,0.0,2.0444
130,async,4,4,40,0,0.0,0.0001,0.0,2.0499
131,async,4,4,0,0,0.0001,0.0001,0.0,2.052
132,async,4,4,0,0,0.0,0.0001,0.0,2.0437
133,async,4,4,0,0,0.0,0.0001,0.0,2.0442
134,async,4,4,0,0,0.0,0.0,0.0,2.0485
135,async,4,4,0,0,0.0001,0.0003,0.0,2.055
136,async,4,4,0,0,0.0,0.0001,0.0,2.0529
137,async,4,4,0,0,0.0,0.0,0.0,2.0468
138,async,4,4,0,0,0.0,0.0,0.0,2.0471
139,async,4,4,0,0,0.0,0.0001,0.0,2.0418
140,async,4,4,40,0,0.0,0.0001,0.0,2.0449
141,async,4,4,0,0,0.0001,0.0002,0.0,2.0433
142,async,4,4,0,0,0.0001,0.0002,0.0,2.0383
143,async,4,4,0,0,0.0,0.0,0.0,2.0431
144,async,4,4,0,0,0.0,0.0,0.0,2.0426
145,async,4,4,0,0,0.0001,0.0002,0.0,2.0434
146,async,4,4,0,0,0.0,0.0001,0.0,2.0498
147,async,4,4,0,0,0.0001,0.0001,0.0,2.0457
148,async,4,4,0,0,0.0,0.0,0.0,2.0454
149,async,4,4,0,0,0.0001,0.0001,0.0,2.052
150,async,4,4,40,0,0.0,0.0001,0.0,2.0478
151,async,4,4,0,0,0.0,0.0001,0.0,2.0421
152,async,4,4,0,0,0.0,0.0,0.0,2.0439
153,async,4,4,0,0,0.0,0.0001,0.0,2.0383
154,async,4,4,0,0,0.0001,0.0001,0.0,2.0573
155,async,4,4,0,0,0.0001,0.0001,0.0,2.0549
156,async,4,4,0,0,0.0001,0.0002,0.0,2.0451
157,async,4,4,0,0,0.0,0.0001,0.0,2.0403
158,async,4,4,0,0,0.0,0.0,0.0,2.0462
159,async,4,4,0,0,0.0001,0.0001,0.0,2.0491
160,async,4,4,40,0,0.0001,0.0002,0.0,2.0464
161,async,4,4,0,0,0.0,0.0001,0.0,2.045
162,async,4,4,0,0,0.0,0.0001,0.0,2.0395
163,async,4,4,0,0,0.0001,0.0001,0.0,2.0406
164,async,4,4,0,0,0.0,0.0001,0.0,2.0455
165,async,4,4,0,0,0.0,0.0001,0.0,2.0463
166,async,4,4,0,0,0.0,0.0,0.0,2.0477
167,async,4,4,0,0,0.0,0.0001,0.0,2.0456
168,async,4,4,0,0,0.0,0.0,0.0,2.0444
169,async,4,4,0,0,0.0,0.0001,0.0,2.0504
170,async,4,4,40,0,0.0,0.0,0.0,2.0505
171,async,4,4,0,0,0.0,0.0001,0.0,2.0478
172,async,4,4,0,0,0.0,0.0001,0.0,2.0567
173,async,4,4,0,0,0.0,0.0,0.0,2.0474
174,async,4,4,0,0,0.0001,0.0001,0.0,2.0448
