tick_id,mode,n_zones_completed,n_zones_fallback,n_late_reports,n_duplicate_reports,mean_zone_latency_s,max_zone_latency_s,max_mean_ratio,total_tick_latency_s
0,blocking,8,0,0,0,1.5011,3.0036,2.0009,5.9732
1,blocking,8,0,0,0,1.501,3.0024,2.0003,3.0361
2,blocking,8,0,0,0,1.5011,3.0022,2.0001,3.1622
3,blocking,8,0,0,0,1.5015,3.0038,2.0005,3.0566
4,blocking,8,0,0,0,1.5003,3.0008,2.0001,3.0306
5,blocking,8,0,0,0,1.5007,3.0018,2.0002,3.0332
6,blocking,8,0,0,0,1.5009,3.0022,2.0002,3.0317
7,blocking,8,0,0,0,1.5013,3.0029,2.0002,3.0352
8,blocking,8,0,0,0,1.501,3.0033,2.0009,3.0323
9,blocking,8,0,0,0,1.5009,3.0018,2.0,3.0323
10,blocking,8,0,0,0,1.5004,3.0012,2.0002,3.0315
11,blocking,8,0,0,0,1.5007,3.0018,2.0002,3.0299
12,blocking,8,0,0,0,1.5004,3.0013,2.0003,3.0312
13,blocking,8,0,0,0,1.5006,3.0015,2.0002,3.0312
14,blocking,8,0,0,0,1.5011,3.004,2.0012,3.0482
15,blocking,8,0,0,0,1.5005,3.0015,2.0003,3.0259
16,blocking,8,0,0,0,1.5012,3.0032,2.0006,3.0284
17,blocking,8,0,0,0,1.5006,3.0025,2.0008,3.0372
18,blocking,8,0,0,0,1.5006,3.0013,2.0,3.0351
19,blocking,8,0,0,0,1.5007,3.0017,2.0002,3.0335
20,blocking,8,0,0,0,1.5005,3.0014,2.0002,3.0279
21,blocking,8,0,0,0,1.5009,3.0023,2.0003,3.0319
22,blocking,8,0,0,0,1.5009,3.002,2.0001,3.0347
23,blocking,8,0,0,0,1.5007,3.0023,2.0005,3.0345
24,blocking,8,0,0,0,1.5009,3.0018,2.0,3.1645
25,blocking,8,0,0,0,1.5007,3.002,2.0003,3.03
26,blocking,8,0,0,0,1.5003,3.0008,2.0002,3.0318
27,blocking,8,0,0,0,1.5006,3.0016,2.0003,3.0303
28,blocking,8,0,0,0,1.5008,3.0021,2.0003,3.0349
29,blocking,8,0,0,0,1.5006,3.0017,2.0004,3.034
30,blocking,8,0,0,0,1.5008,3.0025,2.0006,3.0343
31,blocking,8,0,0,0,1.5008,3.0023,2.0004,3.053
32,blocking,8,0,0,0,1.5007,3.0021,2.0005,3.036
33,blocking,8,0,0,0,1.5008,3.0025,2.0006,3.0348
34,blocking,8,0,0,0,1.5009,3.0025,2.0005,3.0407
